,Player,Match_played,Starts,Minutes_played,Gls,Ast,Shots,shots_on_target,goals_per_shot,goals_per_shot_on_target,non_penalty_goals,penalty_goal,CrdY,CrdR,pass_comp,pass_attempt,pass_comp%,tackles_made,successful_tackles,Blocks,interceptions,clearence,Err,Touches,successful_dribbles,dribbles_attempted,successful_dribbles%,fouls_commited,fouls_drawn,offside,crosses,penalty_kick_won,penalty_kick_conceded,own_goal,aerial_duo_won,aerial_duo_lost,Pos,Age,Club_country,Club,Team,Cleansheets,Shots saved
398,Devis Epassy,2,2,180,0,0,0,0,0,0,0,0,0,0,57,83,68.7,0,0,0,0,2,0,92,0,0,0,0,1,0,0,0,0,0,2,0,GK,29,Saudi Arabia,Abha,Cameroon,0,12
399,Nicolas Nkoulou,2,2,180,0,1,3,1,0,0,0,0,1,0,79,91,86.8,2,0,2,5,8,1,115,0,0,0,2,2,0,0,0,0,0,2,4,DF,32,Greece,Aris,Cameroon,0,
400,Karl Toko Ekambi,3,2,166,0,0,2,1,0,0,0,0,0,0,43,53,81.1,1,1,1,2,0,0,68,1,4,25,0,3,0,3,0,0,0,1,4,"FW,MF",29,France,Lyon,Cameroon,0,
401,Pierre Kunde,2,2,131,0,0,5,2,0,0,0,0,1,0,38,49,77.6,4,2,0,4,4,0,71,0,1,0,3,1,0,4,0,0,0,1,0,MF,26,Greece,Olympiacos,Cameroon,0,
402,Martin Hongla,2,2,121,0,0,1,1,0,0,0,0,0,0,49,61,80.3,0,0,2,2,3,0,73,2,3,66.7,1,1,1,1,0,0,0,1,0,MF,24,Italy,Hellas Verona,Cameroon,0,
403,Vincent Aboubakar,3,1,142,2,1,6,3,0.33,0.67,2,0,2,1,20,31,64.5,0,0,0,0,4,0,48,5,7,71.4,3,2,0,0,0,0,0,2,3,FW,30,Saudi Arabia,Al-Nassr,Cameroon,0,
404,Samuel Oum Gouet,2,1,100,0,0,0,0,0,0,0,0,0,0,52,59,88.1,1,1,0,0,3,0,65,0,0,0,0,1,0,1,0,0,0,1,0,MF,24,Belgium,Mechelen,Cameroon,0,
405,Moumi Ngamaleu,2,1,95,0,0,0,0,0,0,0,0,0,0,21,25,84,3,1,0,0,0,0,36,2,4,50,3,5,0,1,0,0,0,0,2,"FW,MF",27,Russia,Dynamo Mosc,Cameroon,0,
406,Enzo Ebosse,1,1,90,0,0,0,0,0,0,0,0,0,0,34,38,89.5,4,2,1,0,5,0,49,0,0,0,0,0,0,0,0,0,0,2,0,DF,23,Italy,Udinese,Cameroon,0,
407,Christopher Wooh,1,1,90,0,0,1,0,0,0,0,0,0,0,25,31,80.6,1,0,3,1,6,0,45,0,0,0,2,0,0,0,0,0,0,0,0,DF,20,France,Rennes,Cameroon,0,
408,André Onana,1,1,80,0,0,0,0,0,0,0,0,0,0,45,59,76.3,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,GK,26,Italy,Inter,Cameroon,0,
409,Gaël Ondoua,2,0,47,0,0,0,0,0,0,0,0,0,0,17,19,89.5,2,1,1,2,0,0,25,0,0,0,2,1,0,0,0,0,0,1,2,MF,26,Germany,Hannover 96,Cameroon,0,
410,Georges-Kévin N'Koudou,2,0,27,0,0,1,1,0,0,0,0,0,0,9,12,75,0,0,0,0,0,0,21,0,2,0,1,1,0,2,0,0,0,0,1,"FW,MF",27,Turkey,Beşiktaş,Cameroon,0,
411,Olivier Ntcham,1,0,25,0,0,1,1,0,0,0,0,0,0,11,12,91.7,0,0,0,0,1,0,14,2,2,100,0,0,0,0,0,0,0,0,0,MF,26,England,Swansea City,Cameroon,0,
412,Christian Bassogog,1,0,24,0,0,0,0,0,0,0,0,1,0,5,9,55.6,0,0,0,1,0,0,14,2,4,50,0,1,0,2,0,0,0,0,0,MF,26,cn,Shanghai Shen,Cameroon,0,
413,Jerome Ngom Mbekeli,1,0,5,0,0,0,0,0,0,0,0,0,0,1,2,50,0,0,0,0,1,0,4,0,0,0,0,0,0,2,0,0,0,1,0,MF,23,Cameroon,Colombe Sportive du Dja et Lobo,Cameroon,0,
414,José María Giménez,3,3,270,0,0,3,0,0,0,0,0,1,0,141,174,81,4,1,6,7,11,0,213,0,0,0,4,3,1,2,0,1,0,8,3,DF,27,Spain,Atlético Madrid,Uruguay,0,
415,Sergio Rochet,3,3,270,0,0,0,0,0,0,0,0,0,0,54,78,69.2,0,0,0,0,1,1,89,0,0,0,1,0,0,0,0,1,0,1,0,GK,29,Uruguay,Nacional,Uruguay,2,5
